date,region,subregion,cases,deaths
2020-03-26,Islands,SAR,52,1
2020-03-27,North-West,VDA,44,9
2020-03-27,North-West,LIG,129,51
2020-03-27,North-West,PIE,558,70
2020-03-27,North-West,LOM,2409,541
2020-03-27,North-East,VEN,562,26
2020-03-27,North-East,TN,94,16
2020-03-27,North-East,BZ,97,12
2020-03-27,North-East,FVG,94,4
2020-03-27,North-East,EMR,772,93
2020-03-27,Centre,MAR,82,26
2020-03-27,Centre,TOS,224,19
2020-03-27,Centre,UMB,82,1
2020-03-27,Centre,LAZ,199,12
2020-03-27,South,ABR,71,5
2020-03-27,South,MOL,6,1
2020-03-27,South,CAM,144,15
2020-03-27,South,BAS,17,2
2020-03-27,South,PUG,152,4
2020-03-27,South,CAL,101,4
2020-03-27,Islands,SIC,86,6
2020-03-27,Islands,SAR,36,2
2020-03-28,North-West,VDA,59,4
2020-03-28,North-West,LIG,126,27
2020-03-28,North-West,PIE,579,48
2020-03-28,North-West,LOM,2117,542
2020-03-28,North-East,VEN,433,49
2020-03-28,North-East,TN,114,18
2020-03-28,North-East,BZ,106,4
2020-03-28,North-East,FVG,119,11
2020-03-28,North-East,EMR,795,77
2020-03-28,Centre,MAR,177,28
2020-03-28,Centre,TOS,367,21
2020-03-28,Centre,UMB,85,7
2020-03-28,Centre,LAZ,210,6
2020-03-28,South,ABR,116,8
2020-03-28,South,MOL,14,0
2020-03-28,South,CAM,138,11
2020-03-28,South,BAS,31,0
2020-03-28,South,PUG,124,2
2020-03-28,South,CAL,61,3
2020-03-28,Islands,SIC,109,18
2020-03-28,Islands,SAR,94,5
2020-03-29,North-West,VDA,73,2
2020-03-29,North-West,LIG,254,19
2020-03-29,North-West,PIE,535,67
2020-03-29,North-West,LOM,1592,416
2020-03-29,North-East,VEN,428,30
2020-03-29,North-East,TN,89,9
2020-03-29,North-East,BZ,105,0
2020-03-29,North-East,FVG,44,11
2020-03-29,North-East,EMR,736,99
2020-03-29,Centre,MAR,185,22
